race_key,v0_1_main_evaluation_eligible,final_candidate_present,final_strict_complete_member,final_prediction_feature_eligible,final_base_role,migration_status,reason_codes
20231004_18_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_19_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_20_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_22_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_24_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_05_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_11_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_11_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_18_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_20_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_20_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_20_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_22_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231005_23_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231006_11_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231006_13_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231006_14_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231006_15_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_02_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_02_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_02_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_02_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_03_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_03_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_06_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_06_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_12_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_14_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_19_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_19_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_24_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231007_24_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231008_02_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231008_02_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231008_03_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
